レベル1,レベル2,レベル3,レベル4,フィールド,フィールド詳細
いつもいつも、お調子者で困ってしまいましたね。,いつもいつも、お調子者で困りましたね。,いつもいつも、お調子者で困りましたね。,いつもいつも、お調子者で困ったね。,態度,追従
取り巻きのお追従に気づかれるはずですけどね、会長は。,取り巻きのお追従に気づかれるはずだけどね、会長は。,取り巻きのお追従に気づくはずだけどね、会長は。,取り巻きのお追従に気づくだろうね、会長は。,態度,追従
お追従者というのは、どこの社会にもいるものでございます。,お追従者というのは、どこの社会にもいるものです。,お追従者というのは、どこの社会にもいるものです。,お追従者は、どこの社会にもいるものだよ。,態度,追従
あの人は少々お天気屋なところがございますからね。,あの人は少々お天気屋なところがありますからね。,あの人は少しお天気屋なところがありますからね。,あの人は少しお天気屋なところがあるからね。,態度,追従
あのおべっか遣いには本当に困ったものでございます。,あのおべっか遣いには本当に困ったもんです。,あのおべっか遣いには本当に困ったものです。,あのおべっか遣いには本当に困ったもんだ。,態度,追従
見え透いたおべんちゃらをおっしゃるのは、おやめになってください。,見え透いたおべんちゃらを言うのは、やめてください。,見え透いたおべんちゃらを言うのは、やめてください。,見え透いたおべんちゃらを言うのはやめろ。,態度,追従
あの方はいつも権力に迎合される、困ったお方でございます。,あの人はいつも権力に迎合なさる、困ったお人だ。,あの人はいつも権力に迎合する、困った人だ。,あの人は、いつも権力に迎合する、困ったやつだ。,態度,追従
あなた様はご機嫌取りがお上手ですから、よろしくお願いいたします。,君はご機嫌取りが上手だから、よろしく頼むよ。,あなたはご機嫌取りが上手だから、よろしく頼みます。,君はご機嫌取りが上手だから、よろしく頼むよ。,態度,追従
あの評論家のご都合主義には目に余るものがございますね。,あの評論家のご都合主義には目に余るものがありますね。,あの評論家のご都合主義には目に余るものがありますね。,あの評論家のご都合主義には目に余るものがあるね。,態度,追従
あの方には、まるでご定見がございませんね。,あの人には、まるでご定見がないですね。,あの人には、まるでご定見がないですね。,あの人には、まるで定見がないね。,態度,追従
私は説を曲げませんよ、たとえ御用学者とよばれましてもね。,私は説を曲げませんよ、たとえ御用学者と呼ばれようともね。,私は説を曲げませんよ、たとえ御用学者と呼ばれてもね。,私は説を曲げないよ、たとえ御用学者と呼ばれたって。,態度,追従
お気が若いですねぇ、若い女性を集めて大騒ぎなさるとはね。,気が若いですねぇ、若い娘を集めて大騒ぎなさるとはね。,気が若いねぇ、若い娘を集めて大騒ぎするとはね。,気が若いなぁ、若い娘を集めて大騒ぎするとはね。,態度,賑やか
あのお方は、他人の迷惑などお構いなしでございます。,あの方は、他人の迷惑などお構いなしなんです。,あの人は、他品の迷惑なんてお構いなしなんです。,あの人は、他人の迷惑なんてお構いなしだよ。,態度,賑やか
奥様はお口数が多くていらして、機関銃のようでございますからね。,奥様はお口数が多くて、機関銃のようですからね。,奥さんは口数が多くて、機関銃のようですからね。,嫁さんは口数が多くて、機関銃のようだからね。,態度,賑やか
少しお声が高いのではございませんか？周りにご迷惑でございますよ。,少しお声が高いんじゃありませんか？周りにご迷惑ですよ。　,少し声が高いんじゃありませんか？周りに迷惑ですよ。,ちょっと声が高いんじゃない？周りに迷惑だよ。,態度,賑やか
びっくりいたしましたわ、急にお叫びになるから。,びっくりしたわ、急にお叫びになるから。,びっくりしたわ、急に叫ばれるから。,びっくりしたわ、急に叫ぶから。,態度,賑やか
異動の季節、役所の中が何かとお騒がしいようでございますね。,異動の季節、役所の中が何かとお騒がしいようですね。,異動の季節、役所の中が何かと騒がしいようですね。,異動の季節、役所の中が何かと騒がしいようだね。,態度,賑やか
そんなにお騒ぎになるほどのことではないかと存じますが・・・。,そんなにお騒ぎになるほどのことではないかと思いますが・・・。,そんなに騒ぐようなことではないかと思いますが・・・。,そんなに騒ぐようなことではないと思うが・・・。,態度,賑やか
あの三人組のお喋りには、ほとほと参ってしまいました。,あの三人組のお喋りには、ほとほと参りました。,あの三人組のお喋りには、ほとほと参りました。,あの三人組のお喋りには、ほとほと参った。,態度,賑やか
皆様お賑やかなことでございます。,皆さんお賑やかなことで。,皆さん賑やかなことで。,みんな賑やかだね。,態度,賑やか
何か良いことがございましたね、そんなにおはしゃぎになられて。,何かいいことあったのね、そんなにおはしゃぎになって。,何かいいことがあったのね、そんなにはしゃいで。,何かいいことがあったんだね、そんなにはしゃいで。,態度,賑やか
あのお方は性格もお派手でいらっしゃいますからね。,あの方は、性格もお派手ですからね。,あの人は、性格も派手ですからね。,あの人は、性格も派手だからね。,態度,賑やか
あの人たちのお祭り騒ぎを何とかしていただけませんか。,あの連中のお祭り騒ぎを何とかしてください。,あの連中のお祭り騒ぎを何とかしてください。,あの連中のお祭り騒ぎを何とかしてよ。,態度,賑やか
いつも、おやかましくて、申し訳ございません。,毎度、おやかましくて、すみません。,毎度、おやかましくて、すみません。,毎度、うるさくて、ごめん。,態度,賑やか
先生も日本の決勝ゴールに歓声をあげられていました。,先生も日本の決勝ゴールに歓声をあげられていました。,先生も日本の決勝ゴールに歓声をあげていました。,先生も日本の決勝ゴールに歓声をあげていた。,態度,賑やか
あること無いこと吹聴なさるのはおやめください。,あること無いこと吹聴なさるのはおやめなさい。,あること無いこと吹聴するのはやめなさい。,あること無いこと吹聴するのはやめろ。,態度,賑やか
これからもお変わりなく、私どもをご援助いただきますように。,これからも変わらず、私どもをご援助ください。,これからも変わらず、私どもを援助ください。,これからも変わらず、私たちを援助して。,助ける,援助
そういうご事情でしたら、私どもがご援助いたしましょう。,そういうご事情なら、私どもがご援助いたしましょう。,そういう事情でしたら、私たちが援助しましょう。,そういう事情なら、私たちが援助するよ。,助ける,援助
恩をお売りになるというのではなく、この際、援助なされてはいかがでしょう？,恩を売るというのではなく、この際、援助ななさってはいかが？,恩を売るというのではなく、この際、援助してはいかが。,恩を売るというんじゃなく、この際援助したら？,助ける,援助
今度は、私があなた様をお支え致す番でございますから。,今度は、私があなたをお支えする番ですから。,今度は、私があなたを支える番ですから。,今度は、私が君を支える番だから。,助ける,援助
あなた様がこの老舗をお支えになってこられたんですよ。,あなたがこの老舗をお支えになってきたんですよ。,あなたがこの老舗を支えてきたんですよ。,君がこの老舗を支えてきたんだよ。,助ける,援助
あなた様をお救いするのは、この方法しかございませんでしたのよ。,あなたをお救いするのは、この方法しかなかったのよ。,あなたを救うのには、この方法しかなかったのよ。,君を救うには、この方法しかなかったよ。,助ける,援助
先生の植林技術が、中央アジアの山村をお救いになられたんです。,先生の植林技術が、中央アジアの山村をお救いになったんです。,先生の植林技術が、中央アジアの山村を救ったんです。,先生の植林技術が、中央アジアの山村を救ったんだ。,助ける,援助
大恩あるあなた様をお助けするのは、当然のことでございます。,大恩あるあなたをお助けするのは、当然のことです。,大恩あるあなたを助けるのは、当然のことです。,大恩ある君を助けるのは、当然のことだ。,助ける,援助
皆様が力を合わせて、お助けになられたそうでございますね。,皆さんが力を合わせて、お助けになったそうですね。,皆さんが力を合わせて、お助けになったそうですね。,みんなが力を合わせて助けたそうだね。,助ける,援助
お手出しは、なさらないでください。,お手出しは、なさらないでください。,手出しはしないでください。,手出しはするな。,助ける,援助
ゴミ問題解決のため、ここは隣町と協調なさるべきです。,ゴミ問題解決のため、ここは隣町と協調なさるべきです。,ゴミ問題解決のため、ここは隣町と協調するべきです。,ゴミ問題解決のため、ここは隣町と協調するべきだ。,助ける,援助
御社にご後援をいただけましたら、鬼に金棒でございます。,御社にご後援をいただけましたら、鬼に金棒でございます。,御社に応援していただけたら、鬼に金棒です。,御社に応援してもらえたら、鬼に金棒だ。,助ける,援助
今年も、地元のお祭りを後援なさるんですね？,今年も、地元のお祭りを後援なさるんですね？,今年も、地元のお祭りを後援するんですね？,今年も、地元のお祭りを後援するんだね。,助ける,援助
なにとぞ、温かいご支援を賜りたいと存じます。,何とぞ、温かいご支援を賜りたいと存じます。,なにとぞ、温かい支援をお願いしたいと思います。,なにとぞ、温かい支援をしてください。,助ける,援助
今年度も、あのプロジェクトを支援なさるのですか？,今年度も、あのプロジェクトを支援なさるのですか？,今年度も、あのプロジェクトを支援するのですか？,今年度も、あのプロジェクトを支援するの？,助ける,援助
退職後は、悠々自適で畑仕事に勤しまれていらっしゃるそうですね。,退職後は、悠々自適で畑仕事に勤しまれているそうですね。,退職後は、悠々自適で畑仕事にいそしまれているらしいね。,退職後は、悠々自適で畑仕事に汗を流しているそうだね。,楽しむ,
いよいよ還暦でいらっしゃいますか。お愉しみはこれからですね。,いよいよ還暦ですか。お愉しみはこれからですね。,いよいよ還暦ですか。お愉しみはこれからですね。,いよいよ還暦かい。お愉しみはこれからだね。,楽しむ,
お孫さんの成長がお楽しみでいらっしゃいますね。,お孫さんの成長がお楽しみですね。,お孫さんの成長が楽しみですね。,孫の成長が楽しみだね。,楽しむ,
それでは豪華賞品が当たるビンゴをお楽しみください。,それでは豪華賞品が当たるビンゴをお楽しみください。,それでは豪華賞品が当たるビンゴを楽しんでください。,それでは豪華賞品が当たるビンゴを楽しんでね。,楽しむ,
沖縄では、スキューバ・ダイビングを楽しまれるご予定とか。,沖縄では、スキューバ・ダイビングを楽しまれるご予定とか。,沖縄では、スキューバ・ダイビングを楽しむ予定とか。,沖縄では、スキューバダイビングをする予定なの？,楽しむ,
お慰みに、ジグソーパズルはいかがでございますか？,お慰みに、ジグソーパズルはいかがですか？,お慰みに、ジグソーパズルはどうですか？,慰みに、ジグソーパズルはどう？,楽しむ,
ご趣味はバロック音楽のご鑑賞だそうでいらっしゃいますね。,ご趣味はバロック音楽のご鑑賞だそうですね。,趣味はバロック音楽の鑑賞だそうですね。,趣味はバロック音楽の鑑賞なんだってね。,楽しむ,
市川崑監督のシリーズを、じっくりご鑑賞なされてください。,市川崑監督のシリーズを、じっくり鑑賞なさってください。,市川崑監督のシリーズを、じっくり鑑賞してください。,市川崑監督のシリーズを、じっくり鑑賞して。,楽しむ,
中国雑技団の公演、ゆっくりご観覧いただけましたか？,中国雑技団の公演、ゆっくりご観覧いただけましたか？,中国雑技団の公演、ゆっくり観覧できましたか？,中国雑技団の公演、ゆっくり観覧できた？,楽しむ,
すばらしいご趣味でいらっしゃいますね、油絵をお描きになられるなんて。,結構なご趣味ですね、油絵をお描きになるなんて。,結構な趣味ですね、油絵を描くなんて。,結構な趣味だね、油絵を描くなんて。,楽しむ,
洋ラン展、ご堪能いただけましたでしょうか？,洋ラン展、ご堪能いただけましたか？,洋ラン展、堪能しましたか？,洋ラン展、堪能した？,楽しむ,
奥様と桜の旅を堪能なさったそうですね。,奥様と桜の旅を堪能なさったそうですね。,奥さんと桜の旅を堪能したんですね。,嫁さんと桜の旅を堪能したんだってね。,楽しむ,
ウイーンでオペラをご満喫とは、優雅でございますね。,ウイーンでオペラをご満喫とは、優雅なものですね。,ウイーンでオペラを満喫とは、優雅なものですね。,ウイーンでオペラを満喫だって、優雅なもんだね。,楽しむ,
信州で夏の休暇を満喫なされたそうですね。,信州で夏の休暇を満喫なさったそうですね。,信州で夏の休暇を満喫したそうですね。,信州で夏の休暇を満喫したんだって。,楽しむ,
最近、碁を嗜まれているとうかがいました。,近頃、碁を嗜まれるそうですね。,最近、碁を嗜まれるそうですね。,最近、碁をやっているんだって。,楽しむ,
いつまでも、ご両親に依存なさるのは、恥ずかしゅうございますよ。,いつまでもご両親に依存なさるのは、恥ずかしいですよ。,いつまでも両親に依存するのは、恥ずかしいですよ。,いつまでも両親に依存するのは恥ずかしいぞ。,楽しむ,
遺言状を弁護士に委託なさったそうですね。,遺言状を弁護士に委託なさったそうですね。,遺言状を弁護士に委託したそうですね。,遺言状を弁護士に委託したそうだね。,楽しむ,
ご依頼の品をお届けに上がりました。,ご依頼の品をお届けにあがりました。,依頼の品を届けに来ました。,依頼の品を届けに来た。,楽しむ,
調査を依頼なさるお方は、こちらの書類にご記入ください。,調査を依頼なさる方は、この書類にご記入ください。,調査を依頼する人は、この書類に記入してください。,調査を依頼する人は、この書類に記入しなさい。,楽しむ,
ここはご隠居様におすがりして、相談に乗っていただくしかございませんね。,ここはご隠居におすがりして、相談に乗ってもらうししかないね。,ここはご隠居におすがりして、相談にのってもらうしかないね。,ここは隠居にすがって、相談にのってもらうしかないな。,楽しむ,
愚息のこと、何ぶんよろしくお頼み申し上げます。,息子のこと、何ぶんよろしくお頼みします。,愚息のこと、何ぶんよろしくお頼みします。,息子のこと、何ぶんよろしく頼む。,楽しむ,
あのような方にお頼みになることはございませんよ。,あんな人にお頼みになることはありませんよ。,あんな人にお頼みになることはありません。,あんな奴に頼むことはないよ。,楽しむ,
いつもあなた様にお頼りするばかりで恐縮でございます。,いつもあなたにお頼りするばかりで恐縮です。,いつもあなたに頼るばかりで恐縮です。,いつも君に頼るばかりですまない。,楽しむ,
お使い立てして申し訳ありませんが、この本を先生にお届けください。,お使い立てして申し訳ないが、この本を先生に届けてください。,お使い立手して申し訳ないが、この本を先生に届けてください。,使い立手して悪いけど、この本を先生に届けてくれ。,楽しむ,
今回の選挙も、一票のお願いに伺いました。,今回の選挙も、一票のお願いに伺いました。,今回の選挙も、一票のお願いに来ました。,今回の選挙も、一票のお願いに来た。,楽しむ,
何とか、お力添えをいただきたいと存じます。,何とか、お力添えをお願いしたいのですが。,何とか、お力添えをお願いしたいのですが。,何とか、力添えを頼みたいが。,楽しむ,
都知事へのご請願、いかがでございましたか？,都知事へのご請願、いかがでしたか？,都知事への請願、いかがでしたか？,都知事への請願、どどうだった？,楽しむ,
荒れた河川敷の改修を区に請願なさるべきではございませんか。,荒れた河川敷の改修を区に請願なさるべきでしょう。,荒れた河川敷の改修を区に請願すべきでしょう。,荒れた河川敷の改修を区に請願するべきだ。,楽しむ,
代表監督へのご就任を、ご請願なさったそうでございますね。,代表監督への就任を、請願なさったそうですね。,代表監督への就任を、請願されたそうですね。,代表監督への就任を、請願したそうだね。,楽しむ,
そこまで若手にお委ねになるのは考えものでございますよ。,そこまで若手にお委ねになるのは考えものですよ。,そこまで若手に委ねるのは考えものですよ。,そこまで若手に委ねるのは考えものだよ。,楽しむ,
華奢なお身体で、とても羨ましく存じます。,華奢なお身体で、なんとも羨ましいわ。,華奢な身体で、とても羨ましいです。,華奢な身体で、とっても羨ましいな。,体格,
ご子息、身長がずいぶんとお伸びになられましたね。,坊ちゃん、ご身長がグッと伸びましたね。,坊ちゃん、身長がずいぶんと伸びましたね。,坊ちゃん、身長がとってもと伸びたね。,体格,
お背丈は、百八十センチは超えられたのでしょうか？,お背丈は、百八十センチは超えられたでしょ？,身長は、百八十センチは超えたのでしょうか？,身長は、百八十センチは超えたかな？,体格,
おふくよかで、性格も丸い方なのだと想像致します。,おふくよかで、性格も丸い方なんでしょうね。,ふくよかで、性格も丸い方なんでしょうね。,ふくよかで、性格も丸い方なんだろうね。,体格,
心配事がお無くなりになって、ふくよかになられたようですね？,心配事が無くなって、ふくよかになられましたね？,心配事が無くなって、ふくよかになったようですね？,心配事が無くなって、ふくよかになったみたいね？,体格,
結婚してから、お太りになりましたね。幸せ太りでいらっしゃいますか？,結婚してから、お太りになりましたね。幸せ太り？,結婚してから、太りましたね。幸せ太りかしら？,結婚してから、太ったよね。幸せ太りかな？,体格,
少しお太りになられたのではありませんか？,少し太られたのではありませんか？,少し太ったのではないですか？,少し太ったんじゃない？,体格,
顧問は、とても福々しいお顔をしてらっしゃいますね。,顧問は、とても福々しいお顔をしてらっしゃるわね。,顧問は、とても福々しい顔をしてますね。,顧問は、とても福々しい顔をしてるね。,体格,
まあ、恰幅がいいご主人でいらっしゃいますね。,まあ、恰幅がいいご主人ですね。,まあ、恰幅がいいご主人ですね。,まあ、恰幅がいいご主人ね,体格,
ここのところ、ちょっと、お痩せになっていらっしゃいませんか？,ここのところ、ちょっと、お痩せになっていませんか？,ここのところ、ちょっと、痩せたのではありませんか？,ここのとこ、ちょっと、痩せたんじゃない？,体格,
お痩せになられましたね。ダイエットなさったのでしょうか？,痩せられましたね。ダイエットなさったの？,痩せましたね。ダイエットしたのですか？,痩せたね。ダイエットしたの？,体格,
奥様はお風邪にかかりやすいご体質なのでしょうね。,奥様は風邪にかかりやすいご体質なんですね。,奥様は風邪をひきやすい体質なのでしょうね。,奥さんは風邪をひきやすい体質なのね。,体格,
あそこのご長男は、子どもの頃からご病弱でいらっしゃるのです。,あそこのご長男は、子どもの頃からご病弱なんですよ。,あそこの長男は、子どもの頃から病弱なのです。,あそこの長男は、子どもの頃から病弱なのよ。,体格,
ご病身なのすから、あまりご無理なさらない方が・・・。,ご病身なんですから、あまりご無理なさらない方が・・・。,病身なのだから、あまり無理しない方が・・・。,病身なんだから、あんまり無理しない方がいいよ・・・。,体格,
あの方は、着実に大女優への道をお歩みになっていらっしゃいますね。,あの方は、着実に大女優への道をお歩みになっていますね。,あの人は、着実に大女優への道を歩んでますね。,あの人は、着実に大女優への道を歩んでるね。,体格,
博士は、その道一筋に歩まれたご一生でございました。,博士は、その道一筋に歩まれたご一生でした。,博士は、その道一筋に歩んだ一生でした。,博士は、その道一筋に歩んだ一生だったね。,体験,経験
まずは、経験をお積みになった方がいいかと存じます。,まずは、経験をお積みになった方がいいですよ。,まずは、経験を積んだ方がいいと思います。,まずは、経験を積んだ方がいいと思うよ。,体験,経験
テープカットは、初めての体験でいらっしゃいましたか？,テープカットは、お初の体験でしたか？,テープカットは、初めての体験でしたか？,テープカットは、初めての体験だった？,体験,経験
大舞台をおふみになると、人は変わものでいらっしゃいますね。,大舞台をおふみになると、人は変わるものですね。,大舞台をふむと、人は変わものですね。,大舞台をふむと、人は変わものね。,体験,経験
地域の発展のために、ボランティア活動なさってと伺っております。,地域の発展のために、ボランティア活動なさってるそうです。,地域の発展のために、ボランティア活動してるそうです。,地域の発展のために、ボランティア活動してるみたい。,体験,経験
長年のご経験を生かして、これからもご活躍なさってください。,長年のご経験を生かして、これからもご活躍ください。,長年の経験を生かして、これからも活躍してください。,長年の経験を生かして、これからも活躍してね。,体験,経験
何事もまず、実際にご経験なさることだと存じます。,何事もまず、実際に経験なさることですね。,何事もまず、実際に経験するとですね。,何事もまず、実際に経験することね。,体験,経験
十五歳での一人旅は、貴重なご体験でいらっしゃいましたね。,十五歳での一人旅は、貴重なご体験でしたね。,十五歳での一人旅は、貴重な体験でしたね。,十五歳での一人旅は、貴重な体験だったね。,体験,経験
バンジージャンプを体験なさるのは、初めてでいらっしゃいますか？,バンジージャンプを体験なさるのは、初めてですか？,バンジージャンプを体験するのは、初めてですか？,バンジージャンプを体験するのは、初めて？,体験,経験
,,,"""",体験,経験
町会長は、あの大空襲を涙ながらに回顧なさいました。,町会長は、あの大空襲を涙ながらに回顧なさいました。,町会長は、あの大空襲を涙ながらに回顧しました。,町会長は、あの大空襲を涙ながらに回顧したのよ。,体験,経験
物理学六十年を回顧なさった文章を、拝読致しました。,物理学六十年を回顧なさった文章を、読ませていただきました。,物理学六十年を回顧した文章を、読みました。,物理学六十年を回顧した文章を、読んだよ。,体験,経験
昔、ご一緒に仕事をされていたこと、ご記憶にございませんか？,昔、ご一緒に仕事をしていたこと、ご記憶にありませんか？,昔、一緒に仕事をしていたこと、記憶にありませんか？,昔、一緒に仕事をしていたこと、記憶にない？,体験,経験
お母様の艶やかな着物姿、ご子息も心に刻まれることと存じます。,お母様の艶やかな着物姿、息子さんも心に刻まれるでしょうね。,お母さんの艶やかな着物姿、息子さんも心に刻まれるでしょうね。,お母さんの艶やかな着物姿、息子さんも心に刻むだろうね。,体験,経験
会長は、しみじみとご幼少の頃を述懐なさいました。,会長は、しみじみとご幼少の頃を述懐なさいました。,会長は、しみじみと幼少の頃を述懐していました。,会長は、しみじみと幼少の頃を述懐してたよ。,体験,経験
ご体調は最近、いかがでいらっしゃいますか？,体調は最近、いかがですか？,体調は最近、どうですかか？,体調は最近、どう？,体調,気づく
今日はお顔色があまりよろしくないようでいらっしゃいますね。,今日はお顔色があまり良くないですね。,今日は顔色があまり良くないですね。,今日は顔色があまり良くないね。,体調,気づく
お加減はいかがでいらっしゃいますか？お加減でも悪いのですか？,お加減はいかがですか？お加減でも悪いのですか？,具合はどうですか？具合でも悪いのですか？,具合はどう？具合でも悪いの？,体調,気づく
お風邪でいらっしゃいますか？咳が出ていらっしゃいますね。,お風邪ですか？咳が出てますね。,風邪ですか？咳が出てますね。,風邪？咳が出てるね。,体調,気づく
その後、お身体の具合はいかがでいらっしゃいますか？,その後、お身体の具合はいかがですか？,その後、身体の具合はどうですか？,その後、身体の具合はどう？,体調,気づく
どうなさりましたか？お具合でも悪いのでしょうか？,どうなさいました？お具合でも悪いのですか？,どうしました？具合でも悪いのですか？,どうした？具合でも悪いの？,体調,気づく
みんなの希望の星でいらっしゃるのですから、くれぐれもお体をお大事になさってください。,みんなの希望の星なんですから、くれぐれもお体をお大事にね。,みんなの希望の星なのだから、くれぐれも体を大事にしてくださいね。,みんなの希望の星なのだから、くれぐれも体を大事にしてね。,体調,気づく
だいぶお疲れのご様子でいらっしゃいますね。,だいぶお疲れのご様子ですね。,だいぶ疲れているようですね。,だいぶ疲れているみたいだね。,体調,気づく
お顔色が優れないようでいらっしゃいますけど、どこかお悪いのではないでしょうか？,お顔色が優れませんけど、どこかお悪いんですか？,顔色が優れないみたいだけど、どこか悪いんですか？,顔色が優れないみたいだけど、どこか悪いの？,体調,気づく
お顔色が優れないようでいらっしゃいますが、ご気分でもお悪いのではありませんか？,お顔色が優れないようですが、ご気分でもお悪いんですか？,顔色が優れないようだけど、気分でも悪いんですか？,顔色が優れないようだけど、気分でも悪いの？,体調,気づく
このところ、ご体調はよろしいようでいらっしゃいますね。,このところ、ご体調はよろしいようですね。,このところ、体調はよさそうですね。,このところ、体調はよさそうね。,体調,気づく
声が出にくいのは、病気のご微候かもしれません。,声が出にくいのは、病気のご微候かもしれませんよ。,声が出にくいのは、病気の微候かもしれません。,声が出にくいのは、病気の微候かもよ。,体調,気づく
ご病気と聞いて、駆けつけてまいりました。,ご病気と聞いて、駆けつけました。,病気と聞いて、駆けつけました。,病気と聞いて、駆けつけたのよ。,体調,気づく
かなり以前から、ご不調を訴えておられました。,かなり以前から、ご不調を訴えておられましたからね。,かなり以前から、不調を訴えてました。,かなり以前から、不調を訴えてたよ。,体調,気づく
足をどうかなされたのですか？歩き方がちょっと・・・,足をどうかなさったんですか？歩き方がちょっと・・・,足をどうしたんですか？歩き方がちょっと・・・,足をどうしたの？歩き方がちょっと・・・,体調,気づく
少々、お遊びが過ぎるのではありませんか？,少々、お遊びが過ぎるんじゃありませんか？,少し、遊びが過ぎるのではないですか？,少し、遊びが過ぎるんじゃない？,態度,からかう
そんなにお苛めにならないでくださいませ、まだ新米なのですから。,そんなにお苛めにならないでください、まだ新米なんですから。,そんなに苛めないでください、まだ新米なんですから。,そんなに苛めないで、まだ新米なんだから。,態度,からかう
バカなことをなさるのも、いい加減になさってください。,バカをお演じになるのも、いい加減になさい。,バカなことをするのも、いい加減にしてください。,バカなことをするのも、いい加減にして。,態度,からかう
私をお担ぎになるなら、もう少しマシな嘘をおつきになってください。,私をお担ぎになるなら、もう少しマシな嘘をおつきなさいな。,私を担ぐなら、もう少しマシな嘘をつきなさい。,私を担ぐなら、もう少しマシな嘘をつきなよ。,態度,からかう
ひどいですわ、おからかいにならないでください。,ひどいわ、おからかいにならないでください。,ひどいわ、からかわないでください。,ひどいわ、からかわないでよ。,態度,からかう
そんなにお絡みになられたら、可哀そうに存じます。,そんなにお絡みになったら、可哀そうよ。,そんなに絡んだら、可哀そうですよ。,そんなに絡んだら、可哀そう。,態度,からかう
本気でいらっしゃいますか？お戯れにならないでください。,本気ですか？お戯れにならないでください。,本気ですか？戯れないでください。,本気？戯れないで。,態度,からかう
お惚けになるのも、いいかげんになさってください。,お惚けになるのも、いいかげんにしてください。,惚けるのも、いいかげんにしてください。,惚けるのも、いいかげんにして。,態度,からかう
あなたはお乗せになるのがお上手でいらっしゃるから、まいってしまいます。,あなたはお乗せになるのが上手いんだから、まいっちゃう。,あなたは乗せるのが上手いから、まいってしまいます。,あなたは乗せるのが上手いから、まいるわ。,態度,からかう
お酒の席だとしても、おふざけにならないでくださいますか。,お酒の席だからって、おふざけにならないでください。,お酒の席だからって、ふざけないでください。,お酒の席だからって、ふざけないで。,態度,からかう
昨夜はかなりお乱れになられたようですが。何かございましたか？,昨夜はかなりお乱れになったようね。何かあったの？,昨夜はかなり乱れたようね。何かあったのですか？,昨夜はかなり乱れたようね。何かあったの？,態度,からかう
あなたのそんなご挑発になぞ、乗るつもりはございません。,あなたのそんなご挑発になんか、乗るもんですか。,あなたのそんな挑発になんか、乗るもんですか。,あなたのそんな挑発になんか、乗るもんか。,態度,からかう
あなたはいつもそのようなおっしゃり方で挑発なさるのですね。,あなたはいつもそんな言い方で挑発なさるのね。,あなたはいつもそんな言い方で挑発するのね。,あなたはいつもそんな言い方で挑発するね。,態度,からかう
二代目は、ご不摂生がたたって、身体をお壊しになられました。,二代目は、ご不摂生がたたって、身体を壊してしまいました。,二代目は、健康に気にしていないなので、身体を壊してしまいました。,二代目は、健康に気をつけなかったので、身体を壊したのよ。,態度,からかう
羽目をお外しになるのも、程ほどになさってください。,羽目を外されるのも、程ほどになさってください。,羽目を外すのも、程ほどにしてください。,羽目を外すのも、程ほどにしてね。,態度,からかう
あなたは、嘘をおつきになるのが、ほんとに下手でいらっしゃいますね,あなたって、嘘をおつきになるのが、ほんとに下手ねぇ。,あなたって、嘘をつくのが、ほんとに下手ですね。,あなたって、嘘をつくのが、ほんとに下手ねぇ。,態度,口振り
そんな噂をお流しになったのは、どなたでいらっしゃいますか？,そんな噂をお流しになったのは、どなたかしら？,そんな噂を流したのは、誰かしら？,そんな噂を流したのは、誰？,態度,口振り
そろそろ年貢をお納めになったらいかがでしょうか？お噂になっていらっしゃいますよ。,そろそろ年貢をお納めになったら？お噂よ。,そろそろ年貢を納めたら？噂ですよ。,そろそろ年貢を納めたら？噂よ。,態度,口振り
どなたのお噂してらしたのですか？あなたのお噂するなんてとんでもございません。,誰のお噂してらしたの？あなたのお噂するなんてとんでもない。,誰の噂してたのですか？あんたの噂するなんてとんでもないです。,誰の噂してたの？あんたの噂するなんてとんでもないよ。,態度,口振り
あの方は、ほんとにお口が軽くていらっしゃるから。,あの人は、ほんとにお口が軽いんですから。,あの人は、ほんとに口が軽いんですから。,あの人は、ほんとに口が軽いんだから。,態度,口振り
本当にあなたはお口が悪い人でいらっしゃいますね。,本当にあなたはお口が悪い人ですね。,本当にあなたは口が悪い人ですね。,本当にあなたって口が悪い人だよね。,態度,口振り
あのお口振りでは、例の件は無理でございますね。,あのお口振りでは、例の件は無理ですね。,あの口振りでは、例の件は無理ですね。,あの口振りだと、例の件は無理だね。,態度,口振り
お芝居がお上手でいらっしゃいますね。下手なお芝居はおやめになったらいかがですか？,お芝居がお上手ね。下手なお芝居はおやめになったら？,芝居が上手ですね。下手な芝居はやめたら？,芝居が上手ね。下手な芝居はやめなよ？,態度,口振り
またそんなお上手ばっかりおっしゃって。話をすりかえるのがお上手でいらっしゃいますね。。,またそんなお上手ばっかり。話をすりかえるのがお上手ね。,またそんな上手ばっかり。話をすりかえるのが上手ですね。,またそんな上手ばっかり。話をすりかえるのがうまいね。,態度,口振り
また私をお騙しになるのですね？,また私をお騙しになるのね？,また私を騙すのね？,また私を騙すの？,態度,口振り
まあ、ご冗談ばっかりおっしゃって。ご冗談を。お褒め頂いても何も出ませんよ。,まあ、ご冗談ばっかり。ご冗談を。褒めても何も出ませんよ。,まあ、冗談ばっかり。冗談を。褒めても何も出ませんよ。,まあ、冗談ばっかり。冗談を。褒めても何も出ないよ。,態度,口振り
まあ、ご辛辣でいらっしゃいますね。なかなか、ご辛辣でいらっしゃいますね。,まあ、ご辛辣ねえ。なかなか、ご辛辣ですねえ。,まあ、辛辣ねえ。なかなか、辛辣ですねえ。,まあ、辛辣だね。けっこう、辛辣だよね。,態度,口振り
